# Agent task intent map for set-me-up
# Format: intent_id|primary_paths|related_paths|validation_commands|summary|keywords
# Paths are comma-separated. Each path must be "." or listed in scripts/repos.txt.
add-theme|modules/colorschemes|installer,home/.config/alacritty,home/.config/tmux,home/.config/nvim,home/.config/zed,home/.config/zsh,home/.config/bash,home/.config/fish,home/.config/nushell|scripts/validate-repos.sh --changed;scripts/validate.sh --coverage|Add or update a color scheme across palettes, generated adapters, installer profiles, and consuming configs|theme,themes,color,colorscheme,colorschemes,palette
add-prompt|installer|home/.config/zsh,home/.config/bash,home/.config/fish,home/.config/nushell|scripts/validate-repos.sh --changed;scripts/validate.sh --coverage|Add or update prompt profile behavior across installer profiles and shell adapters|prompt,prompts,ps1,shell-profile
change-smu-command|installer|tests,docs|scripts/validate-repos.sh --changed;scripts/validate.sh --coverage|Change installer behavior or the smu command and update provisioning coverage and docs|smu,cli,installer,command,catalog,profile
add-managed-repo|.|.|scripts/new-repo-check.sh <path>;scripts/generate-docs.sh --check;scripts/validate.sh --structure;scripts/validate.sh --coverage|Add a managed repository through the root manifest, route, validator, and generated docs workflow|new,repo,repository,managed,manifest,route,validator,add-repo
add-module|modules/template-module|installer,tests,docs|scripts/validate-repos.sh --changed;scripts/validate.sh --coverage|Create or change module patterns and wire installer, test, and documentation coverage|module,modules,template,new-module,scaffold
agent-config|shared/ai-config|home/claude,home/codex,home/pi,home/.config/opencode|scripts/validate-repos.sh --changed;scripts/validate.sh --coverage|Change shared or tool-specific agent configuration|agent,agents,ai,skill,skills,claude,codex,pi,opencode
shell-config|home/.config/zsh,home/.config/bash,home/.config/fish,home/.config/nushell|installer,modules/colorschemes|scripts/validate-repos.sh --changed;scripts/validate.sh --coverage|Change shell behavior, prompt adapters, or theme integration|shell,zsh,bash,fish,nushell,prompt,ps1
editor-config|home/.config/nvim,home/.config/zed|modules/colorschemes|scripts/validate-repos.sh --changed;scripts/validate.sh --coverage|Change editor configuration or editor theme adapters|editor,nvim,neovim,zed,theme
terminal-config|home/.config/alacritty,home/.config/tmux,home/.config/television,home/.config/gh-dash|modules/colorschemes|scripts/validate-repos.sh --changed;scripts/validate.sh --coverage|Change terminal, multiplexer, picker, or dashboard configuration|terminal,alacritty,tmux,television,tv,gh-dash,dashboard
vps-server-setup|tests,modules/debian,blueprint|installer,docs|scripts/agent-intake.sh --strict vps;scripts/validate-repos.sh --changed;scripts/validate.sh --coverage|Add or change the first-class headless VPS/DigitalOcean setup path across scenario coverage, Debian modules, blueprint docs, and installer-facing behavior|vps,server,headless,digitalocean,droplet,ubuntu,debian,ssh
provisioning-adapters|installer|blueprint,tests,docs,modules/universal,modules/debian,modules/macos,home/.config/zsh,home/.config/tmux,home/.config/nvim,home/.config/alacritty|scripts/validate-repos.sh --changed;scripts/validate.sh --coverage|Add or change blueprint-selectable provisioning adapters, including the rcm adapter, hybrid migration, scaffolding, audits, profiles, CI, config adapters, and Nix/Home Manager/NixOS adapter paths|provisioning,adapter,adapters,rcm,nix,home-manager,nix-darwin,nixos,flake,migration,audit,coverage,dashboard,schema,validation,profile,profiles,docs,aliases,config,scaffold,scaffolding,ci,hybrid,primary,init,switch,parity,generate,module,toml,smoke,install,modes,mode,engine,blueprint-init,blueprint-doctor,blueprint-migrate,blueprint-ci,blueprint-providers,compatibility,matrix,provider-matrix,capability,capabilities,capability-contract,readiness,ci-contract,contract,portable,modular,compare,plan,dry-run,apply,vps,debian,ubuntu,arch,doctor,policy,platform,drift,check,container,lock,state,provider,providers,hetzner,github-actions
